objectid,title,creator,date,description,collection,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,extra
ac_004,Turkish Tubaphone,,,,Acoustics,,,,,,ac_004,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/ac_004.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/ac_004_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/ac_004_th.jpg,,,
ac_005,Xylophone,,,,Acoustics,,,,,,ac_005,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/ac_005.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/ac_005_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/ac_005_th.jpg,,,
ac_006,Four Tuning Forks,L. Landry,1900,"These four tuning forks, mounted in resonating boxes, were made by L. Landry in Paris. They were purchased in 1900 and the price of the set was $32.",Acoustics,,Display Case H3,,,,ac_006,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/ac_006.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/ac_006_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/ac_006_th.jpg,,,
ac_007,Metal Whistle,,,,Acoustics,,Display Case H3,,,,ac_007,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/ac_007.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/ac_007_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/ac_007_th.jpg,,,
ac_010,Metronome,,,,Acoustics,,Display Case H3,,,,ac_010,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/ac_010.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/ac_010_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/ac_010_th.jpg,,,
ac_011,Siren,,,,Acoustics,,Display Case H3,,,,ac_011,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/ac_011.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/ac_011_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/ac_011_th.jpg,,,
ac_012,Savart Bell and Resonator,James W. Queen & Co.,,"The hemispherical bell is made to vibrate by stroking it with a violin bow. If the resonating cylinder is turned toward the bell and its length adjusted by the slide until its resonate frequency matches that of the bell, the sound is intensified. The cylinder can be moved away from the bell and tilted up and down.

This piece of equipment cost $20 when it was purchased from Queen & Co. of Philadelphia.",Acoustics,,,,,,ac_012,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/ac_012.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/ac_012_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/ac_012_th.jpg,,,
ac_013,Chime 440,,,,Acoustics,,Display Case H3,,,,ac_013,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/ac_013.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/ac_013_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/ac_013_th.jpg,,,
ac_033,Xylophone Sounding Hammers,,,ac033 through ac_036,Acoustics,,Storage Location H2b,,,,ac_033,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/ac_033.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/ac_033_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/ac_033_th.jpg,,,
ac_039,Metal Organ Pipe,,,,Acoustics,,,,,,ac_039,,,,,,,https://collectionbuilder.blob.core.windows.net/objs/physics_museum/ac_039.jpg,https://collectionbuilder.blob.core.windows.net/smalls/physics_museum/ac_039_sm.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/physics_museum/ac_039_th.jpg,,,
